citing_publisher,cited_name,cited_total
CCC,Elizabeth Wardle,6
CCC,Anis Bawarshi,5
CCC,Cynthia L. Selfe,5
CCC,Ellen Cushman,5
CCC,Jacqueline Jones Royster,5
CCC,Jacqueline Rhodes,5
CCC,Kara Taczak,5
CCC,Jeffrey T. Grabill,4
CCC,Jody Shipka,4
CCC,John Trimbur,4
CCC,Jonathan Alexander,4
CCC,Josipa Roksa,4
CCC,Kathleen Blake Yancey,4
CCC,Min-Zhan Lu,4
CCC,Andrea Lunsford,3
CCC,Brenda Jo Brueggemann,3
CCC,Carl Whithaus,3
CCC,Charles Moran,3
CCC,Cynthia Lewiecki Wilson,3
CCC,Danielle Nicole DeVoss,3
CCC,Doug Downs,3
CCC,Duane Roen,3
CCC,Etienne Wenger,3
CCC,Gesa E. Kirsch,3
CCC,Howard Tinberg,3
CCC,Irwin Weiser,3
CCC,J.A. Rice,3
CCC,Janet Zepernick,3
CCC,Jennifer Wells,3
CCC,Jessica Enoch,3
CCC,John R. Hayes,3
CCC,Joyce R. Walker,3
CCC,Krista Ratcliffe,3
CCC,Kristine Hansen,3
CCC,Liane Robertson,3
CCC,Lil Brannon,3
CCC,Linda Adler-Kassner,3
CCC,Liz Rohan,3
CCC,Marcia Curtis,3
CCC,Mary Jo Reiff,3
CCC,Michael Vastola,3
CCC,Terry Myers Zawacki,3
CCC,Adrian J. Wurr,2
CCC,Alex McLeod,2
CCC,Allison Harl,2
CCC,Amy Devitt,2
CCC,Anne Ruggles Gere,2
CCC,Anne-Marie Hall,2
CCC,Anselm L. Strauss,2
CCC,Barbara L’Eplattenier,2
CCC,Barbara Sherr Roswell,2
CCC,Barry M. Maid,2
CCC,Brian Huot,2
CCC,Bridget Ng’andu,2
CCC,Bruce Horner,2
CCC,Carolyn Calloway Thomas,2
CCC,Cathy Birkenstein,2
CCC,Cathy Fleischer,2
CCC,Cheryl Geisler,2
CCC,Christian R. Weisser,2
CCC,Christiane Donahue,2
CCC,Christina Ortmeier-Hooper,2
CCC,Cindy Moore,2
CCC,Craig Baehr,2
CCC,David Reamer,2
CCC,Deborah Minter,2
CCC,Debra Hawhee,2
CCC,Elaine Richardson,2
CCC,Elizabeth A. Wardle,2
CCC,Elizabeth Tryon,2
CCC,Elizabeth Vander Lei,2
CCC,Félix Guattari,2
CCC,Gary Rhoades,2
CCC,Gavriel Salomon,2
CCC,Geneva Smitherman,2
CCC,Geoffrey Sirc,2
CCC,Gerald Graff,2
CCC,Glenn Blalock,2
CCC,Gregory R. Glau,2
CCC,Gretchen Flesher Moon,2
CCC,Harold Rosen,2
CCC,Irene Clark,2
CCC,James E. Porter,2
CCC,James Gee,2
CCC,James H. Conrad,2
CCC,James Porter,2
CCC,Janna Fox,2
CCC,Jason Thompson,2
CCC,Jean C. Williams,2
CCC,Jeffrey M. Ringer,2
CCC,Jessie Moore,2
CCC,Joanne Baird Giordano,2
CCC,John Schilb,2
CCC,Johndan Johnson-Eilola,2
CCC,Jordynn Jack,2
CCC,Joyce Kinkead,2
CCC,Kara Poe Alexander,2
CCC,Karen Lunsford,2
CCC,Karen Strohm Kitchener,2
CCC,L. Lee Forsberg,2
CCC,Laura Aull,2
CCC,Laura R. Micciche,2
CCC,Lee Forsberg,2
CCC,Les Perelman,2
CCC,Linda Flower,2
CCC,Lisa Ede,2
CCC,Lucie Olbrechts-Tyteca,2
CCC,M.Kevin Eagan,2
CCC,Mark Johnson,2
