citing_publisher,cited_name,cited_name
CCC,A. Suresh Canagarajah,6
CCC,Dana L. Driscoll,6
CCC,Deborah Brandt,6
CCC,Douglas Downs,6
CCC,Heidi A. McKee,6
CCC,James A. Berlin,6
CCC,Kathleen Blake Yancey,6
CCC,Linda Adler-Kassner,6
CCC,Michel Foucault,6
CCC,Peter Elbow,6
CCC,Sharon Crowley,6
CCC,Sidney I. Dobrin,6
CCC,Susan Miller,6
CCC,Amy J. Devitt,5
CCC,Andrea A. Lunsford,5
CCC,Anne Beaufort,5
CCC,Brian A. Huot,5
CCC,Bruce Horner,5
CCC,Byron Hawk,5
CCC,Charles Bazerman,5
CCC,Cheryl Glenn,5
CCC,Conference College Composition,5
CCC,Cynthia L. Selfe,5
CCC,David R. Russell,5
CCC,Doug Brent,5
CCC,Elizabeth Wardle,5
CCC,Ellen Cushman,5
CCC,Gary A. Olson,5
CCC,Jacqueline Jones Royster,5
CCC,James Paul Gee,5
CCC,Jeff Rice,5
CCC,Jessica Enoch,5
CCC,Jody Shipka,5
CCC,John Trimbur,5
CCC,Jonathan Alexander,5
CCC,Joseph Harris,5
CCC,Keith Gilyard,5
CCC,Kristine Hansen,5
CCC,Linda Flower,5
CCC,Lloyd F. Bitzer,5
CCC,Mary Soliday,5
CCC,Michael Carter,5
CCC,Min-Zhan Lu,5
CCC,Nancy Welch,5
CCC,Patricia Bizzell,5
CCC,Patricia Sullivan,5
CCC,Richard H. Haswell,5
CCC,Shannon Carter,5
CCC,Thomas A. Rickert,5
CCC,Thomas Kent,5
CCC,Tony Scott,5
CCC,Alastair Pennycook,4
CCC,Anis Bawarshi,4
CCC,Ann E. Berthoff,4
CCC,Anne Frances Wysocki,4
CCC,Anne J. Herrington,4
CCC,Bronwyn T. Williams,4
CCC,Carolyn R. Miller,4
CCC,Chris Thaiss,4
CCC,Chris W. Gallagher,4
CCC,Christine M. Tardy,4
CCC,Clay Spinuzzi,4
CCC,Council Writing Program Administrators,4
CCC,David Bartholomae,4
CCC,David Gold,4
CCC,David W. Smit,4
CCC,Dànielle Nicole DeVoss,4
CCC,Edward M. White,4
CCC,Eli Goldblatt,4
CCC,Frank Farmer,4
CCC,Geneva Smitherman,4
CCC,Geoffrey Sirc,4
CCC,Irwin Weiser,4
CCC,James E. Porter,4
CCC,Jeanne Gunner,4
CCC,Jenny Edbauer,4
CCC,Jenny Rice,4
CCC,Jessie Moore,4
CCC,Jodie Nicotra,4
CCC,Johndan Johnson-Eilola,4
CCC,Kenneth Burke,4
CCC,Kevin Roozen,4
CCC,Krista Ratcliffe,4
CCC,Laura R. Micciche,4
CCC,Lucille Parkinson McCarthy,4
CCC,Lynn Z. Bloom,4
CCC,Margaret Price,4
CCC,Marilyn Cooper,4
CCC,Marilyn M. Cooper,4
CCC,Mary Jo Reiff,4
CCC,Maureen Daly Goggin,4
CCC,Mike Rose,4
CCC,Nedra Reynolds,4
CCC,Paula Mathieu,4
CCC,Raúl Sánchez,4
CCC,Rebecca S. Nowacek,4
CCC,Richard Arum,4
CCC,Richard E. Miller,4
CCC,Richard Fulkerson,4
CCC,Robert J. Connors,4
CCC,Scott Richard Lyons,4
CCC,Stanley Fish,4
CCC,Susan Peck MacDonald,4
CCC,Susanmarie Harrington,4
CCC,Victor Villanueva,4
CCC,Adam Banks,3
CCC,Albert R. Kitzhaber,3
CCC,Andrea Lunsford,3
CCC,Angela Rounsaville,3
CCC,Anne Ruggles Gere,3
CCC,Anselm L. Strauss,3
CCC,Asao B. Inoue,3
CCC,Barack Obama,3
CCC,Beverly J. Moss,3
CCC,Bob Broad,3
CCC,Brenda Jo Brueggemann,3
CCC,Candace Spigelman,3
CCC,Carol Berkenkotter,3
CCC,Catherine Prendergast,3
CCC,Cheryl Geisler,3
CCC,Chris Anderson,3
CCC,Chris M. Anson,3
CCC,Christina Haas,3
CCC,Cynthia Lewiecki-Wilson,3
CCC,Dan Melzer,3
CCC,Daniel Anderson,3
CCC,Deborah Mutnick,3
CCC,Deborah Tannen,3
CCC,Debra Hawhee,3
CCC,Donald M. Murray,3
CCC,Donna Strickland,3
CCC,Doug Downs,3
CCC,Douglas D. Hesse,3
CCC,Elizabeth A. Flynn,3
CCC,Etienne Wenger,3
CCC,Gwendolyn D. Pough,3
CCC,Ira Shor,3
CCC,James M. Dubinsky,3
CCC,James Moffett,3
CCC,James P. Purdy,3
CCC,Jan Blommaert,3
CCC,Janet Emig,3
CCC,Janice M. Lauer,3
CCC,Jeffrey M. Ringer,3
CCC,John C. Bean,3
CCC,John C. Brereton,3
CCC,John Dewey,3
CCC,John Duffy,3
CCC,John M. Swales,3
CCC,Johnny Saldaña,3
CCC,Jordynn Jack,3
CCC,Joseph Petraglia,3
CCC,Judith Butler,3
CCC,Julie Jung,3
CCC,K.J. Rawson,3
CCC,Kara Poe Alexander,3
CCC,Ken Hyland,3
CCC,L. Lee Forsberg,3
CCC,Lee-Ann M. Kastman Breuch,3
CCC,Les Perelman,3
CCC,Lester Faigley,3
CCC,Lil Brannon,3
CCC,Linda Brodkey,3
CCC,Lisa S. Mastrangelo,3
CCC,Liz Rohan,3
CCC,Malcolm Gladwell,3
CCC,Malea Powell,3
CCC,Marc Bousquet,3
CCC,Mariolina Rizzi Salvatori,3
CCC,Martin Nystrand,3
CCC,Mary Louise Pratt,3
CCC,Matthew Heard,3
CCC,Maxine Hairston,3
CCC,Michael Vastola,3
CCC,Michael-John DePalma,3
CCC,Mina P. Shaughnessy,3
CCC,N. Katherine Hayles,3
CCC,Nathaniel A. Rivers,3
CCC,National Council English,3
CCC,Pamela Takayoshi,3
CCC,Patricia Dunn,3
CCC,Patricia Freitag Ericsson,3
CCC,Patricia Lynne,3
CCC,Patrick Sullivan,3
CCC,Paul Heilker,3
CCC,Paul Kei Matsuda,3
CCC,Paul Prior,3
CCC,Peggy O’Neill,3
CCC,Peter Mortensen,3
CCC,Peter Smagorinsky,3
CCC,Pierre Bourdieu,3
CCC,Priscilla Perkins,3
CCC,Rebecca Moore Howard,3
CCC,Robert Boice,3
CCC,Robert R. Johnson,3
