citing_publisher,citing_year,citing_name,citing_name
CCC,1/1/2013,Jean Bessette,54
CCC,1/1/2013,Laura Aull,50
CCC,1/1/2013,Katherine T. Durack,40
CCC,1/1/2013,Deborah Minter,37
CCC,1/1/2013,Michael Day,37
CCC,1/1/2013,Joanne Baird Giordano,36
CCC,1/1/2013,Kristine Johnson,35
CCC,1/1/2013,Laurie Grobman,34
CCC,1/1/2013,Isis Artze-Vega,32
CCC,1/1/2013,Michael Bunn,31
CCC,1/1/2013,Michelle Navarre Cleary,30
CCC,1/1/2013,Brett M. Griffiths,27
CCC,1/1/2013,Lil Brannon,24
CCC,1/1/2013,Barbara L’Eplattenier,19
CCC,1/1/2013,Caroline Dadas,15
CCC,1/1/2013,Staci M Perryman-Clark,15
CCC,1/1/2013,Jeff Rice,9
CCC,1/1/2013,Asao B. Inoue,7
CCC,1/1/2013,Rita Malenczyk,6
CCC,1/1/2013,Marlene R. Miner,5
CCC,1/1/2013,Dominic DelliCarpini,2
CCC,1/1/2013,Steven D. Krause,2
CCC,1/1/2013,Richard R.,1
CCC,1/1/2014,"John Aloysius Cogan, Jr.",76
CCC,1/1/2014,Thomas Deans,68
CCC,1/1/2014,James P. Purdy,58
CCC,1/1/2014,Stacey Pigg,49
CCC,1/1/2014,Lisa R. Arnold,44
CCC,1/1/2014,Todd Ruecker,39
CCC,1/1/2014,Alexandra Peary,37
CCC,1/1/2014,Brian Gogan,37
CCC,1/1/2014,Benjamin Miller,35
CCC,1/1/2014,L. Jill Lamberton,30
CCC,1/1/2014,Jonathan Alexander,28
CCC,1/1/2014,Emily Legg,27
CCC,1/1/2014,Christina ,25
CCC,1/1/2014,Rachel C. Jackson,24
CCC,1/1/2014,Terry Myers Zawacki,22
CCC,1/1/2015,Pamela VanHaitsma,85
CCC,1/1/2015,Patrick Sullivan,73
CCC,1/1/2015,Wendy Hayden,56
CCC,1/1/2015,Chase Bollig,49
CCC,1/1/2015,Faye Halpern,43
CCC,1/1/2015,Lisa Dush,43
CCC,1/1/2015,Russel K. Durst,43
CCC,1/1/2015,Michael-John DePalma,40
CCC,1/1/2015,Sarah Read,36
CCC,1/1/2015,Ben Kuebrich,32
CCC,1/1/2015,Sean Zwagerman,32
CCC,1/1/2015,Jacqueline Preston,27
CCC,1/1/2015,Amy E. Robillard,23
CCC,1/1/2015,Ghanashyam Sharma,20
CCC,1/1/2015,Madelyn Flammia,19
CCC,1/1/2015,Meghan A. Sweeney,19
CCC,1/1/2015,Sarah C. Swofford,19
CCC,1/1/2015,Natasha N. Jones,12
CCC,1/1/2015,Scott Wible,12
CCC,1/1/2015,Zachary C. Beare,12
CCC,1/1/2015,Mary P. Sheridan,10
CCC,1/1/2015,Christian Smith,9
CCC,1/1/2015,Yvonne Cleary,8
CCC,1/1/2015,Johndan Johnson-Eilola,4
CCC,1/1/2015,Asao B. Inoue,3
CCC,1/1/2016,Denise K. Comer,86
CCC,1/1/2016,Chris W. Gallagher,82
CCC,1/1/2016,Chris M. Anson,65
CCC,1/1/2016,D. Alexis Hart,56
CCC,1/1/2016,Kristopher M. Lotier,55
CCC,1/1/2016,Flynn ,52
CCC,1/1/2016,Jennifer Seibel Trainor,50
CCC,1/1/2016,Jerry Won Lee,43
CCC,1/1/2016,Jennifer Sano-Franchini,42
CCC,1/1/2016,Anicca Cox,41
CCC,1/1/2016,Zak Lancaster,40
CCC,1/1/2016,Jennifer Lin LeMesurier,38
CCC,1/1/2016,Tony Scott,38
CCC,1/1/2016,Daveena Tauber,35
CCC,1/1/2016,Jeffrey A. Bacha,35
CCC,1/1/2016,Matthew Abraham,31
CCC,1/1/2016,Kelly A. Myers,30
CCC,1/1/2016,Stuart Blythe,30
CCC,1/1/2016,Nathaniel A. Rivers,26
CCC,1/1/2016,Daniel Barlow,23
CCC,1/1/2016,Aimee C. Mapes,19
CCC,1/1/2016,Laura Beerits,17
CCC,1/1/2016,Kara Wittman,14
CCC,1/1/2016,Frank Gaughan,4
CCC,1/1/2016,Elizabeth Kalbfleisch,3
CCC,1/1/2016,David Beard,2
CCC,1/1/2016,Lois Agnew,2
CCC,1/1/2016,Chris Thaiss,1
CCC,1/1/2016,John Ruszkiewicz,1
CCC,1/1/2017,Pamela VanHaitsma,72
CCC,1/1/2017,Shurli Makmillen,68
CCC,1/1/2017,Bonnie J. Williams-Farrier,56
