target_id,source_id,infomap_score,Target,Source,year,module
2,5,0.00171933,Jeffrey Andelora,Jeff Sommers,2012,1
2,10,0.00171933,Jeffrey Andelora,Mark Blaauw-Hara,2012,1
4,1,0.0012269,Holly Hassel,Howard Tinberg,2012,1
4,3,0.00736139,Holly Hassel,Robert Connors,2012,1
4,7,0.0012269,Holly Hassel,Linda Adler-Kassner,2012,1
4,15,0.0012269,Holly Hassel,Brett Griffiths,2012,1
4,29,0.0012269,Holly Hassel,Hunter R. Boylan,2012,1
5,1,0.00118812,Jeff Sommers,Howard Tinberg,2012,1
6,2,0.0177664,Patrick Sullivan,Jeffrey Andelora,2012,1
6,4,0.00114622,Patrick Sullivan,Holly Hassel,2012,1
6,5,0.00114622,Patrick Sullivan,Jeff Sommers,2012,1
6,8,0.00343866,Patrick Sullivan,Mark Reynolds,2012,1
6,9,0.00114622,Patrick Sullivan,Burton Clark,2012,1
6,10,0.00114622,Patrick Sullivan,Mark Blaauw-Hara,2012,1
6,16,0.000573109,Patrick Sullivan,Joanne Baird Giordano,2012,1
6,19,0.000573109,Patrick Sullivan,Jeffrey Klausman,2012,1
6,30,0.000573109,Patrick Sullivan,Lee Shulman,2012,1
6,34,0.000573109,Patrick Sullivan,Paul Resnick,2012,1
6,35,0.000573109,Patrick Sullivan,Todd Taylor,2012,1
6,41,0.000573109,Patrick Sullivan,John Lombardi,2012,1
7,2,0.00119278,Linda Adler-Kassner,Jeffrey Andelora,2012,1
7,14,0.00119278,Linda Adler-Kassner,Ann Connor,2012,1
8,1,0.000573109,Mark Reynolds,Howard Tinberg,2012,1
8,7,0.000573109,Mark Reynolds,Linda Adler-Kassner,2012,1
8,10,0.000573109,Mark Reynolds,Mark Blaauw-Hara,2012,1
8,24,0.00114622,Mark Reynolds,Katherine Mangan,2012,1
8,35,0.000573109,Mark Reynolds,Todd Taylor,2012,1
10,1,0.000635563,Mark Blaauw-Hara,Howard Tinberg,2012,1
10,4,0.000635563,Mark Blaauw-Hara,Holly Hassel,2012,1
10,7,0.00127113,Mark Blaauw-Hara,Linda Adler-Kassner,2012,1
10,18,0.000635563,Mark Blaauw-Hara,Christie Toth,2012,1
11,2,0.000573109,Tony Scott,Jeffrey Andelora,2012,1
11,4,0.00229244,Tony Scott,Holly Hassel,2012,1
11,5,0.000573109,Tony Scott,Jeff Sommers,2012,1
11,8,0.00171933,Tony Scott,Mark Reynolds,2012,1
11,10,0.000573109,Tony Scott,Mark Blaauw-Hara,2012,1
11,14,0.00114622,Tony Scott,Ann Connor,2012,1
11,18,0.000573109,Tony Scott,Christie Toth,2012,1
11,31,0.00114622,Tony Scott,Ashley Smith,2012,1
11,32,0.000573109,Tony Scott,W. Sparrow,2012,1
11,41,0.000573109,Tony Scott,John Lombardi,2012,1
12,1,0.000573109,Grace Chen,Howard Tinberg,2012,1
12,5,0.000573109,Grace Chen,Jeff Sommers,2012,1
12,10,0.000573109,Grace Chen,Mark Blaauw-Hara,2012,1
12,17,0.000573109,Grace Chen,Cassandra Phillips,2012,1
12,18,0.000573109,Grace Chen,Christie Toth,2012,1
12,19,0.000573109,Grace Chen,Jeffrey Klausman,2012,1
12,35,0.000573109,Grace Chen,Todd Taylor,2012,1
12,41,0.000573109,Grace Chen,John Lombardi,2012,1
13,1,0.000573109,Mary Flannery,Howard Tinberg,2012,1
13,2,0.000573109,Mary Flannery,Jeffrey Andelora,2012,1
13,14,0.00114622,Mary Flannery,Ann Connor,2012,1
15,3,0.000605699,Brett Griffiths,Robert Connors,2012,1
15,4,0.000605699,Brett Griffiths,Holly Hassel,2012,1
15,5,0.000605699,Brett Griffiths,Jeff Sommers,2012,1
15,41,0.000605699,Brett Griffiths,John Lombardi,2012,1
16,4,0.000573109,Joanne Baird Giordano,Holly Hassel,2012,1
16,9,0.00114622,Joanne Baird Giordano,Burton Clark,2012,1
16,10,0.000573109,Joanne Baird Giordano,Mark Blaauw-Hara,2012,1
16,25,0.000573109,Joanne Baird Giordano,Peter Moe,2012,1
16,26,0.000573109,Joanne Baird Giordano,Siskanna Naynaha,2012,1
16,30,0.000573109,Joanne Baird Giordano,Lee Shulman,2012,1
16,32,0.000573109,Joanne Baird Giordano,W. Sparrow,2012,1
16,33,0.000573109,Joanne Baird Giordano,Marilyn Sternglass,2012,1
