citing_publisher,citing_year,cited_name,cited_total
CCC,2013,Irwin Weiser,18
CCC,2013,eds ,17
CCC,2013,Brian Huot,15
CCC,2013,Cynthia L. Selfe,15
CCC,2013,John Swales,15
CCC,2013,Theresa Jarnagin Enos,14
CCC,2013,Theresa Enos,13
CCC,2013,Peggy O’Neill,11
CCC,2013,Amy Devitt,10
CCC,2013,Alan Kalish,7
CCC,2013,Allison Pingree,7
CCC,2013,Amy M. Goodburn,7
CCC,2013,Andrea Lunsford,7
CCC,2013,Anne Beaufort,7
CCC,2013,Calvin B. Peters,7
CCC,2013,David Reamer,7
CCC,2013,Diane Weltner Strommer,7
CCC,2013,Douglas L. Robertson,7
CCC,2013,Elizabeth Overman Smith,7
CCC,2013,Gail Hawisher,7
CCC,2013,Jason Thompson,7
CCC,2013,Kathryn M. Plank,7
CCC,2013,Marie K. Norman,7
CCC,2013,Marsha C. Lovett,7
CCC,2013,Michael W. Bridges,7
CCC,2013,Michele DiPietro,7
CCC,2013,Nedra Reynolds,7
CCC,2013,Peggy O’Neil,7
CCC,2013,Richard Morris,7
CCC,2013,Virginia Johnson Anderson,7
CCC,2013,associates ,7
CCC,2013,Anis Bawarshi,6
CCC,2013,Chris Gallagher,6
CCC,2013,Michael Carter,6
CCC,2013,"Achieve,Inc. nan",5
CCC,2013,Alice Gillam,5
CCC,2013,Anne Ruggles Gere,5
CCC,2013,Carolyn Miller,5
CCC,2013,Catherine Keohane,5
CCC,2013,Charles Bazerman,5
CCC,2013,Charles Moran,5
CCC,2013,Cindy Moore BrianHuot,5
CCC,2013,Dan Melzer,5
CCC,2013,David Rose,5
CCC,2013,Douglas Biber,5
CCC,2013,Ed Jones,5
CCC,2013,Ellen Barton,5
CCC,2013,Falls Brown,5
CCC,2013,Francis Christensen,5
CCC,2013,Gail E. Hawisher,5
CCC,2013,Geneva Smitherman,5
CCC,2013,Gina M. Merys,5
CCC,2013,Glenn Blalock,5
CCC,2013,Irene Clark,5
CCC,2013,James Martin,5
CCC,2013,James Moffett,5
CCC,2013,Janice Walker,5
CCC,2013,Jeff Sommers,5
CCC,2013,Jianglin Zhou,5
CCC,2013,Joan Mullin,5
CCC,2013,John Flowerdew,5
CCC,2013,"Johns,AnnM. nan",5
CCC,2013,Joyce Kinkead,5
CCC,2013,Joyce R. Walker,5
CCC,2013,Kathleen BlakeYancey,5
CCC,2013,KeithDorwick ,5
CCC,2013,Ken Hyland,5
CCC,2013,Lawrence Anthony,5
CCC,2013,Malcolm Gladwell,5
CCC,2013,Mary Ann Cohen,5
