citing_publisher,citing_year,cited_name,cited_total,bipoc
CCC,2013,Irwin Weiser,18,Asian American
CCC,2013,eds,17,Latinx
CCC,2013,Brian Huot,15,White
CCC,2013,Cynthia L. Selfe,15,Asian American
CCC,2013,John Swales,15,Latinx
CCC,2013,Theresa Jarnagin Enos,14,Latinx
CCC,2013,Theresa Enos,13,White
CCC,2013,Peggy O’Neill,11,White
CCC,2013,Amy Devitt,10,Latinx
CCC,2013,Alan Kalish,7,Asian American
CCC,2013,Allison Pingree,7,White
CCC,2013,Amy M. Goodburn,7,Latinx
CCC,2013,Andrea Lunsford,7,Asian American
CCC,2013,Anne Beaufort,7,Asian American
CCC,2013,Calvin B. Peters,7,White
CCC,2013,David Reamer,7,White
CCC,2013,Diane Weltner Strommer,7,Latinx
CCC,2013,Douglas L. Robertson,7,White
CCC,2013,Elizabeth Overman Smith,7,White
CCC,2013,Gail Hawisher,7,Asian American
CCC,2013,Jason Thompson,7,Asian American
CCC,2013,Kathryn M. Plank,7,Asian American
CCC,2013,Marie K. Norman,7,White
CCC,2013,Marsha C. Lovett,7,Latinx
CCC,2013,Michael W. Bridges,7,Latinx
CCC,2013,Michele DiPietro,7,Asian American
CCC,2013,Nedra Reynolds,7,Asian American
CCC,2013,Peggy O’Neil,7,Latinx
CCC,2013,Richard Morris,7,Asian American
CCC,2013,Virginia Johnson Anderson,7,White
CCC,2013,associates,7,Latinx
CCC,2013,Anis Bawarshi,6,Asian American
CCC,2013,Chris Gallagher,6,White
CCC,2013,Michael Carter,6,Asian American
CCC,2013,"Achieve,Inc. nan",5,Latinx
CCC,2013,Alice Gillam,5,White
CCC,2013,Anne Ruggles Gere,5,Asian American
CCC,2013,Carolyn Miller,5,Latinx
CCC,2013,Catherine Keohane,5,Asian American
CCC,2013,Charles Bazerman,5,Asian American
CCC,2013,Charles Moran,5,Latinx
CCC,2013,Cindy Moore BrianHuot,5,White
CCC,2013,Dan Melzer,5,White
CCC,2013,David Rose,5,Latinx
CCC,2013,Douglas Biber,5,Asian American
CCC,2013,Ed Jones,5,Latinx
CCC,2013,Ellen Barton,5,Asian American
CCC,2013,Falls Brown,5,White
CCC,2013,Francis Christensen,5,Asian American
